,Film,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice
0,Bachelor Party,1984,R,29 Jun 1984,105 min,56,6.3,"34,617",tt0086927,N/A
0,Austin Powers: The Spy Who Shagged Me,1999,PG-13,11 Jun 1999,95 min,59,6.6,"212,319",tt0145660,N/A
0,Black Snake Moan,2006,R,02 Mar 2007,116 min,52,6.9,"59,991",tt0462200,"$9,262,318"
0,Bad Teacher,2011,R,24 Jun 2011,92 min,47,5.6,"188,694",tt1284575,"$100,292,856"
0,Bad Boys,1995,R,07 Apr 1995,119 min,41,6.9,"233,204",tt0112442,N/A
0,All About Steve,2009,PG-13,04 Sep 2009,99 min,17,4.8,"39,062",tt0881891,"$33,806,061"
0,Austin Powers: International Man of Mystery,1997,PG-13,02 May 1997,89 min,51,7.0,"216,258",tt0118655,N/A
0,After School Special,2017,TV-MA,27 Jun 2017,78 min,N/A,2.3,214,tt3291632,N/A
0,American Milkshake,2013,R,20 Jan 2013,83 min,30,4.8,309,tt2254364,N/A
0,Arthur,2011,PG-13,08 Apr 2011,110 min,36,5.7,"50,207",tt1334512,"$29,200,000"
0,American Pie,1999,R,09 Jul 1999,95 min,58,7.0,"367,618",tt0163651,N/A
0,Tombstone,1993,R,25 Dec 1993,130 min,50,7.8,"122,147",tt0108358,N/A
0,12,2007,PG-13,20 Sep 2007,159 min,72,7.7,"13,680",tt0488478,N/A
0,True Grit,2010,PG-13,22 Dec 2010,110 min,80,7.6,"301,962",tt1403865,"$171,031,347"
0,A Serious Man,2009,R,06 Nov 2009,106 min,83,7.0,"129,672",tt1019452,"$9,190,525"
0,Ace Ventura: Pet Detective,1994,PG-13,04 Feb 1994,86 min,37,6.9,"270,197",tt0109040,N/A
0,Bamboozled,2000,R,20 Oct 2000,135 min,50,6.5,"9,814",tt0215545,"$1,883,628"
0,Being There,1979,PG,08 Feb 1980,130 min,83,8.0,"63,525",tt0078841,N/A
0,Basquiat,1996,R,09 Aug 1996,107 min,65,6.9,"18,958",tt0115632,N/A
0,Awakenings,1990,PG-13,11 Jan 1991,121 min,74,7.8,"119,327",tt0099077,N/A
0,Anna Karenina,2012,R,07 Sep 2012,129 min,63,6.6,"89,166",tt1781769,"$12,802,907"
0,American Splendor,2003,R,12 Sep 2003,101 min,90,7.4,"46,666",tt0305206,"$5,977,550"
0,An Education,2009,PG-13,05 Feb 2010,100 min,85,7.3,"126,214",tt1174732,"$12,512,069"
0,August: Osage County,2013,R,10 Jan 2014,121 min,58,7.2,"82,453",tt1322269,"$29,202,643"
0,American Sniper,2014,R,16 Jan 2015,133 min,72,7.3,"426,179",tt2179136,"$274,377,268"
0,American Madness,1932,Passed,15 Aug 1932,75 min,N/A,7.4,"1,739",tt0022626,N/A
0,American Graffiti,1973,PG,11 Aug 1973,110 min,97,7.4,"79,136",tt0069704,N/A
0,At First Sight,1999,PG-13,15 Jan 1999,128 min,40,6.0,"12,687",tt0132512,N/A
0,Beloved,1998,R,16 Oct 1998,172 min,57,6.0,"6,937",tt0120603,N/A
0,American Beauty,1999,R,01 Oct 1999,122 min,84,8.3,"1,041,670",tt0169547,N/A
0,Amelia,2009,PG,23 Oct 2009,111 min,37,5.8,"11,770",tt1129445,"$14,195,118"
0,Wild Wild West,1999,PG-13,30 Jun 1999,106 min,38,4.9,"150,148",tt0120891,N/A
0,All About Eve,1950,Passed,27 Oct 1950,138 min,98,8.2,"116,403",tt0042192,N/A
0,All the King's Men,2006,PG-13,22 Sep 2006,128 min,37,6.2,"23,302",tt0405676,N/A
0,12 Years a Slave,2013,R,08 Nov 2013,134 min,96,8.1,"617,390",tt2024544,"$50,628,650"
