Film,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Right_Film,Genre,A,B,D,F,S
Lone Star,1996,R,21 Jun 1996,135 min,78,7.4,"27,357",tt0116905,N/A,Lone Star,Mystery,4,4,15,6,6
Lord of the Rings: Return of the King,2003,Not Rated,12 Dec 2003,52 min,N/A,6.5,290,tt0405185,N/A,Lord of the Rings: Return of the King,Fantasy,0,0,0,0,0
Lord of the Rings: The Two Towers,2002,PG-13,18 Dec 2002,179 min,87,8.7,"1,438,266",tt0167261,"$339,700,000",Lord of the Rings: The Two Towers,Fantasy,0,0,0,0,0
Lost Highway,1997,R,15 Jan 1997,134 min,52,7.6,"126,709",tt0116922,N/A,Lost Highway,Mystery,2,2,3,13,6
Lost Horizon,1937,Approved,01 Sep 1937,132 min,N/A,7.7,"11,468",tt0029162,N/A,Lost Horizon,Mystery,0,0,0,0,0
Man in the Iron Mask,1998,PG-13,13 Mar 1998,132 min,48,6.5,"153,059",tt0120744,N/A,Man in the Iron Mask,Adventure,0,0,0,0,2
Manhattan Murder Mystery,1993,PG,18 Aug 1993,104 min,N/A,7.4,"37,757",tt0107507,N/A,Manhattan Murder Mystery,Mystery,0,0,2,0,1
Mary Poppins,1964,G,18 Jun 1965,139 min,88,7.8,"153,025",tt0058331,N/A,Mary Poppins,Musical,0,0,0,0,0
Master and Commander,2003,PG-13,14 Nov 2003,138 min,81,7.4,"196,696",tt0311113,"$92,100,000",Master and Commander,Adventure,0,0,8,0,0
Meet Joe Black,1998,PG-13,13 Nov 1998,178 min,43,7.2,"208,443",tt0119643,N/A,Meet Joe Black,Mystery,4,2,8,4,7
Memento,2000,R,25 May 2001,113 min,80,8.4,"1,090,730",tt0209144,"$23,844,220",Memento,Mystery,0,0,0,12,5
Minority Report,2002,PG-13,21 Jun 2002,145 min,80,7.6,"494,169",tt0181689,"$132,000,000",Minority Report,Mystery,0,0,0,0,0
Mirrors,2008,R,15 Aug 2008,110 min,35,6.2,"99,967",tt0790686,"$30,575,158",Mirrors,Mystery,1,0,6,6,4
Mission Impossible II,2000,PG-13,24 May 2000,123 min,59,6.1,"306,087",tt0120755,N/A,Mission Impossible II,Mystery,2,3,10,0,2
Moon,2009,R,10 Jul 2009,97 min,67,7.9,"327,533",tt1182345,"$4,785,434",Moon,Mystery,3,1,1,18,8
Mrs. Brown,1968,G,01 Jan 1968,110 min,N/A,4.7,381,tt0063325,N/A,Mrs. Brown,Romance,0,0,1,0,3
Mulan,1998,G,19 Jun 1998,88 min,71,7.6,"241,518",tt0120762,N/A,Mulan,Musical,0,0,0,0,0
Mulholland Drive,2001,R,19 Oct 2001,147 min,85,8.0,"309,245",tt0166924,"$7,077,663",Mulholland Drive,Mystery,1,1,4,0,1
Nashville,1975,R,01 Jul 1975,160 min,96,7.7,"22,811",tt0073440,N/A,Nashville,Musical,1,0,3,0,0
