Film,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,A,B,D,F,Genre,S
A Perfect World,1993,PG-13,24-Nov-93,138 min,71,7.6,"71,562",tt0107808,N/A,9,3,13,2,Crime,12
A Quiet Place,2018,PG-13,6-Apr-18,90 min,82,7.5,"383,773",tt6644200,N/A,0,0,0,0,Horror,0
A Walk to Remember,2002,PG,25-Jan-02,101 min,35,7.4,"195,121",tt0281358,"$41,090,572 ",1,0,0,0,Romance,5
Above the Law,1988,R,22-Apr-88,99 min,45,6,"27,778",tt0094602,N/A,16,2,5,29,Action,10
After.Life,2009,R,26-Aug-10,104 min,36,5.9,"35,655",tt0838247,N/A,0,1,0,19,Horror,6
Agnes of God,1985,PG-13,27-Sep-85,98 min,52,6.6,"6,581",tt0088683,N/A,0,1,1,0,Mystery,2
Aladdin,1992,G,25-Nov-92,90 min,86,8,"359,318",tt0103639,N/A,0,0,0,0,Musical,0
Alien,1979,R,22-Jun-79,117 min,89,8.4,"759,818",tt0078748,N/A,0,0,11,1,Horror,5
Alien 3,1992,R,22-May-92,114 min,59,6.5,"269,549",tt0103644,N/A,1,0,3,6,Horror,7
Alien vs. Predator,2004,PG-13,13-Aug-04,101 min,29,5.6,"180,405",tt0370263,"$80,218,314 ",3,3,6,15,Horror,16
Alien: Resurrection,1997,R,26-Nov-97,109 min,63,6.2,"222,700",tt0118583,N/A,7,6,8,88,Horror,13
Alone in the Dark,2005,R,28-Jan-05,96 min,9,2.4,"41,244",tt0369226,"$5,132,655 ",3,0,5,1,Horror,1
American Outlaws,2001,PG-13,17-Aug-01,94 min,25,6,"13,678",tt0244000,"$11,888,985 ",1,3,9,0,Western,2
American Psycho,2000,R,14-Apr-00,101 min,64,7.6,"466,451",tt0144084,N/A,7,11,3,37,Horror,5
American Werewolf in London,1981,R,21-Aug-81,97 min,60,7.5,"88,546",tt0082010,N/A,4,0,1,9,Horror,7
Anastasia,1997,G,21-Nov-97,94 min,61,7.2,"108,544",tt0118617,N/A,0,0,0,0,Musical,0
Angels & Demons,2009,PG-13,15-May-09,138 min,48,6.7,"266,342",tt0808151,"$133,375,846 ",1,0,5,0,Mystery,1
Apocalypse Now,1979,R,15-Aug-79,147 min,94,8.4,"585,151",tt0078788,N/A,4,10,25,24,War,16
April Fool's Day,1986,R,28-Mar-86,89 min,49,6.2,"13,633",tt0090655,N/A,5,1,3,16,Mystery,14
Army of Darkness,1992,R,19-Feb-93,81 min,57,7.5,"158,476",tt0106308,N/A,2,1,6,0,Horror,2
Backdraft,1991,R,24-May-91,137 min,38,6.7,"69,563",tt0101393,N/A,13,13,34,32,Mystery,28
Bad Day at Black Rock,1955,Passed,15-May-55,81 min,N/A,7.7,"18,452",tt0047849,N/A,0,0,0,0,Western,0
Bad Dreams,1988,R,8-Apr-88,80 min,N/A,5.7,"3,196",tt0094701,N/A,3,0,11,16,Horror,20
Barry Lyndon,1975,PG,18-Dec-75,185 min,89,8.1,"143,450",tt0072684,N/A,0,0,0,0,War,0
Basic,2003,R,28-Mar-03,98 min,34,6.5,"58,076",tt0264395,"$26,536,120 ",6,3,4,58,Mystery,15
Basic Instinct,1992,R,20-Mar-92,127 min,41,7,"166,838",tt0103772,N/A,3,5,13,31,Mystery,4
Beasts of No Nation,2015,Not Rated,16-Oct-15,137 min,79,7.7,"70,500",tt1365050,"$83,861 ",1,0,0,2,War,0
Beauty and the Beast,1991,G,22-Nov-91,84 min,95,8,"408,312",tt0101414,"$47,611,331 ",0,0,1,0,Musical,0
Black Swan,2010,R,17-Dec-10,108 min,79,8,"681,983",tt0947798,"$106,952,327 ",2,0,1,19,Mystery,1
Blade,1998,R,21-Aug-98,120 min,45,7.1,"238,183",tt0120611,N/A,3,0,5,10,Horror,4
Blade II,2002,R,22-Mar-02,117 min,52,6.7,"195,387",tt0187738,"$82,000,000 ",5,4,2,39,Horror,16
Blade: Trinity,2004,R,8-Dec-04,113 min,38,5.9,"162,323",tt0359013,"$52,400,000 ",11,1,7,20,Horror,7
Blue Velvet,1986,R,23-Oct-86,120 min,76,7.8,"174,951",tt0090756,N/A,1,3,3,39,Mystery,11
Bonfire of the Vanities,1990,R,21-Dec-90,125 min,27,5.6,"21,098",tt0099165,N/A,8,7,4,31,Drama,19
Braveheart,1995,R,24-May-95,178 min,68,8.3,"936,584",tt0112573,N/A,4,1,3,0,War,0
Brick,2005,R,14-Apr-06,110 min,72,7.3,"99,286",tt0393109,"$1,973,180 ",0,0,2,0,Mystery,0
Buried,2010,R,15-Oct-10,95 min,65,7,"146,090",tt1462758,"$200,000 ",1,2,2,10,Mystery,9
Burlesque,2010,PG-13,24-Nov-10,119 min,47,6.4,"76,136",tt1126591,"$39,440,655 ",20,9,24,0,Musical,20
Cable Guy,1996,PG-13,14-Jun-96,96 min,56,6.1,"148,526",tt0115798,N/A,5,3,6,0,Thriller,4
Carrie,1976,R,16-Nov-76,98 min,85,7.4,"161,967",tt0074285,N/A,2,1,8,4,Horror,14
Case 39,2009,R,1-Oct-10,109 min,25,6.2,"75,799",tt0795351,"$13,248,477 ",0,0,3,1,Mystery,5
Cellular,2004,PG-13,10-Sep-04,94 min,60,6.5,"91,152",tt0337921,"$32,003,620 ",20,7,28,2,Mystery,29
Changeling,2008,R,31-Oct-08,141 min,63,7.7,"232,041",tt0824747,"$35,707,327 ",1,1,6,4,Mystery,4
Charade,1963,Passed,5-Dec-63,113 min,83,7.9,"65,288",tt0056923,N/A,0,0,1,0,Mystery,0
Chasing Sleep,2000,R,16-May-01,104 min,N/A,6.3,"3,086",tt0221069,N/A,2,5,8,10,Horror,6
Cherry Falls,2000,R,25-Aug-00,92 min,N/A,5.2,"11,902",tt0175526,N/A,2,0,4,33,Mystery,8
Chinatown,1974,R,20-Jun-74,130 min,92,8.2,"283,470",tt0071315,N/A,4,8,2,1,Mystery,6
Citizen Kane,1941,PG,5-Sep-41,119 min,100,8.3,"386,432",tt0033467,N/A,0,0,0,0,Mystery,0
Color of Night,1994,R,19-Aug-94,121 min,36,5.2,"22,268",tt0109456,N/A,7,7,13,55,Mystery,19
Constantine,2005,R,18-Feb-05,121 min,50,7,"296,249",tt0360486,"$75,400,000 ",6,2,10,2,Horror,19
Copycat,1995,R,27-Oct-95,123 min,54,6.6,"52,422",tt0112722,N/A,8,11,18,13,Mystery,10
Crying Game,1992,R,19-Feb-93,112 min,90,7.2,"49,460",tt0104036,N/A,2,7,0,71,Romance,3
Cube,1997,R,11-Jul-98,90 min,61,7.2,"204,667",tt0123755,N/A,0,0,0,0,Mystery,0
Dances with Wolves,1990,PG-13,21-Nov-90,181 min,72,8,"233,089",tt0099348,N/A,3,2,5,0,Western,0
Dark City,1998,R,27-Feb-98,100 min,66,7.6,"184,177",tt0118929,N/A,0,0,6,1,Mystery,5
Dawn of the Dead,2004,R,19-Mar-04,101 min,59,7.3,"229,043",tt0363547,"$58,885,635 ",0,0,0,0,Horror,0
Day of the Dead,1985,Not Rated,19-Jul-85,96 min,60,7.2,"61,352",tt0088993,N/A,12,1,8,2,Horror,14
Deception,2008,R,25-Apr-08,107 min,31,6.1,"37,150",tt0800240,"$4,575,019 ",1,0,7,6,Mystery,4
Deep Rising,1998,R,30-Jan-98,106 min,N/A,6.1,"32,461",tt0118956,N/A,10,4,11,4,Horror,25
Detroit Rock City,1999,R,13-Aug-99,95 min,33,6.9,"34,659",tt0165710,N/A,30,7,6,41,Musical,30
Devil in a Blue Dress,1995,R,29-Sep-95,102 min,78,6.7,"16,786",tt0112857,N/A,8,6,24,5,Mystery,11
Devil's Advocate,1997,R,17-Oct-97,144 min,60,7.5,"318,388",tt0118971,N/A,10,3,9,47,Horror,16
Django Unchained,2012,R,25-Dec-12,165 min,81,8.4,"1,303,854",tt1853728,"$162,804,648 ",52,16,43,41,Western,15
Drag Me to Hell,2009,PG-13,29-May-09,99 min,83,6.5,"184,194",tt1127180,"$42,100,000 ",1,3,4,3,Horror,0
Duck Soup,1933,Not Rated,17-Nov-33,69 min,93,7.8,"54,091",tt0023969,N/A,0,0,0,0,Musical,0
E.T.,1982,PG,11-Jun-82,115 min,91,7.8,"358,478",tt0083866,N/A,0,0,0,0,Sci-Fi,1
Eagle Eye,2008,PG-13,26-Sep-08,118 min,43,6.6,"172,786",tt1059786,"$101,111,837 ",6,3,5,21,Mystery,35
Eastern Promises,2007,R,21-Sep-07,100 min,82,7.6,"222,848",tt0765443,"$17,114,882 ",0,6,1,37,Mystery,1
Eight Legged Freaks,2002,PG-13,17-Jul-02,99 min,53,5.4,"51,748",tt0271367,"$17,231,006 ",0,1,5,1,Horror,3
El Mariachi,1992,R,26-Feb-93,81 min,73,6.9,"61,839",tt0104815,N/A,1,0,1,0,Western,0
El Mariachi,1992,R,26-Feb-93,81 min,73,6.9,"61,839",tt0104815,N/A,0,0,0,0,Western,0
Event Horizon,1997,R,15-Aug-97,96 min,35,6.7,"152,722",tt0119081,N/A,3,1,4,13,Horror,13
Evil Dead,2013,R,5-Apr-13,91 min,57,6.5,"153,127",tt1288558,"$54,200,000 ",0,0,3,0,Horror,2
Ex Machina,2014,R,24-Apr-15,108 min,78,7.7,"457,451",tt0470752,"$19,012,798 ",0,0,2,29,Mystery,6
Fantastic Mr Fox,2009,N/A,24-Oct-09,N/A,N/A,7.8,29,tt1531905,N/A,0,0,0,0,Family,0
Feast,2005,R,18-Jan-07,95 min,43,6.3,"29,126",tt0426459,N/A,10,4,15,27,Horror,23
Final Destination,2000,R,17-Mar-00,98 min,36,6.7,"222,992",tt0195714,N/A,2,0,0,34,Horror,8
Final Destination 2,2003,R,31-Jan-03,90 min,38,6.2,"148,464",tt0309593,"$46,500,000 ",5,3,14,26,Horror,19
Four Feathers,1915,N/A,24-May-15,N/A,N/A,7.3,23,tt0005353,N/A,0,0,0,0,War,0
Frankenstein,1931,Passed,21-Nov-31,70 min,91,7.8,"62,808",tt0021884,N/A,2,0,6,0,Horror,1
Freddy vs. Jason,2003,R,15-Aug-03,97 min,37,5.7,"107,876",tt0329101,"$82,200,000 ",7,32,10,6,Horror,7
Friday the 13th,1980,R,9-May-80,95 min,22,6.5,"113,868",tt0080761,N/A,1,0,4,2,Mystery,4
Friday the 13th Part VIII: Jason Takes Manhattan,1989,R,28-Jul-89,100 min,14,4.6,"32,248",tt0097388,N/A,2,2,3,6,Horror,6
Fright Night,2011,R,19-Aug-11,106 min,64,6.3,"97,730",tt1438176,"$18,298,649 ",2,2,2,17,Horror,21
Get Low,2009,PG-13,27-Aug-10,103 min,77,7,"21,781",tt1194263,"$9,176,469 ",4,7,14,1,Mystery,3
Get Out,2017,R,24-Feb-17,104 min,85,7.7,"463,872",tt5052448,"$175,428,355 ",4,2,9,31,Mystery,33
Ghostbusters 2,2014,N/A,16-Sep-14,17 min,N/A,6.4,5,tt4083432,N/A,0,0,1,0,Sci-Fi,2
Godfather Part II,1974,R,18-Dec-74,202 min,90,9,"1,087,543",tt0071562,N/A,3,5,8,2,Crime,3
Gone Baby Gone,2007,R,19-Oct-07,114 min,72,7.6,"243,532",tt0452623,"$20,300,218 ",6,7,2,84,Mystery,26
Gothika,2003,R,21-Nov-03,98 min,38,5.8,"104,043",tt0348836,"$59,537,388 ",1,2,11,15,Mystery,6
Gremlins 2,1990,PG-13,15-Jun-90,106 min,N/A,6.4,"89,769",tt0099700,N/A,1,0,2,0,Horror,1
Hanna,2011,PG-13,8-Apr-11,111 min,65,6.8,"186,310",tt0993842,"$40,200,000 ",0,1,0,8,Mystery,7
Hellraiser: Deader,2005,R,7-Jun-05,88 min,N/A,4.6,"8,665",tt0337636,N/A,1,0,4,8,Mystery,4
Honeydripper,2007,PG-13,9-May-08,124 min,68,6.6,"1,856",tt0829193,N/A,6,0,14,0,Musical,1
I Still Know What You Did Last Summer,1998,R,13-Nov-98,100 min,21,4.7,"66,809",tt0130018,N/A,0,0,6,0,Mystery,0
Inception,2010,PG-13,16-Jul-10,148 min,74,8.8,"1,980,743",tt1375666,"$292,568,851 ",2,0,3,0,Mystery,1
Interview with the Vampire,1994,R,11-Nov-94,123 min,59,7.6,"287,024",tt0110148,N/A,0,0,6,0,Horror,5
JFK,1991,R,20-Dec-91,189 min,72,8,"137,118",tt0102138,N/A,6,16,28,50,Mystery,17
Jimmy and Judy,2006,R,5-Feb-06,99 min,N/A,6,"1,509",tt0425151,N/A,15,9,7,108,Action,35
Jurassic Park: The Lost World,1997,N/A,N/A,13 min,N/A,7.1,52,tt0369690,N/A,1,1,0,0,Horror,1
King Kong,2005,PG-13,14-Dec-05,187 min,81,7.2,"382,593",tt0360717,"$218,100,000 ",0,0,3,0,Mystery,0
Klute,1971,R,25-Jun-71,114 min,81,7.1,"21,360",tt0067309,N/A,0,3,3,0,Mystery,0
L.A. Confidential,1997,R,19-Sep-97,138 min,90,8.2,"517,644",tt0119488,N/A,4,0,6,38,Mystery,13
La La Land,2016,PG-13,25-Dec-16,128 min,94,8,"481,024",tt3783958,"$151,058,124 ",2,0,3,3,Musical,5
Labyrinth,1986,PG,27-Jun-86,101 min,50,7.4,"120,325",tt0091369,N/A,0,0,6,0,Musical,0
Les Miserables,1978,Not Rated,27-Dec-78,150 min,N/A,7.3,"1,526",tt0077936,N/A,0,1,4,0,Musical,1
Limitless,2011,PG-13,18-Mar-11,105 min,59,7.4,"516,481",tt1219289,"$79,230,923 ",5,1,1,38,Mystery,17
Lone Star,1996,R,21-Jun-96,135 min,78,7.4,"27,357",tt0116905,N/A,4,4,15,6,Mystery,6
Lord of the Rings: Return of the King,2003,Not Rated,12-Dec-03,52 min,N/A,6.5,290,tt0405185,N/A,0,0,0,0,Fantasy,0
Lord of the Rings: The Two Towers,2002,PG-13,18-Dec-02,179 min,87,8.7,"1,438,266",tt0167261,"$339,700,000 ",0,0,0,0,Fantasy,0
Lost Highway,1997,R,15-Jan-97,134 min,52,7.6,"126,709",tt0116922,N/A,2,2,3,13,Mystery,6
Lost Horizon,1937,Approved,1-Sep-37,132 min,N/A,7.7,"11,468",tt0029162,N/A,0,0,0,0,Mystery,0
Man in the Iron Mask,1998,PG-13,13-Mar-98,132 min,48,6.5,"153,059",tt0120744,N/A,0,0,0,0,Adventure,2
Manhattan Murder Mystery,1993,PG,18-Aug-93,104 min,N/A,7.4,"37,757",tt0107507,N/A,0,0,2,0,Mystery,1
Mary Poppins,1964,G,18-Jun-65,139 min,88,7.8,"153,025",tt0058331,N/A,0,0,0,0,Musical,0
Master and Commander,2003,PG-13,14-Nov-03,138 min,81,7.4,"196,696",tt0311113,"$92,100,000 ",0,0,8,0,Adventure,0
Meet Joe Black,1998,PG-13,13-Nov-98,178 min,43,7.2,"208,443",tt0119643,N/A,4,2,8,4,Mystery,7
Memento,2000,R,25-May-01,113 min,80,8.4,"1,090,730",tt0209144,"$23,844,220 ",0,0,0,12,Mystery,5
Minority Report,2002,PG-13,21-Jun-02,145 min,80,7.6,"494,169",tt0181689,"$132,000,000 ",0,0,0,0,Mystery,0
Mirrors,2008,R,15-Aug-08,110 min,35,6.2,"99,967",tt0790686,"$30,575,158 ",1,0,6,6,Mystery,4
Mission Impossible II,2000,PG-13,24-May-00,123 min,59,6.1,"306,087",tt0120755,N/A,2,3,10,0,Mystery,2
Moon,2009,R,10-Jul-09,97 min,67,7.9,"327,533",tt1182345,"$4,785,434 ",3,1,1,18,Mystery,8
Mrs. Brown,1968,G,1-Jan-68,110 min,N/A,4.7,381,tt0063325,N/A,0,0,1,0,Romance,3
Mulan,1998,G,19-Jun-98,88 min,71,7.6,"241,518",tt0120762,N/A,0,0,0,0,Musical,0
Mulholland Drive,2001,R,19-Oct-01,147 min,85,8,"309,245",tt0166924,"$7,077,663 ",1,1,4,0,Mystery,1
Nashville,1975,R,1-Jul-75,160 min,96,7.7,"22,811",tt0073440,N/A,1,0,3,0,Musical,0
Newsies,1992,PG,10-Apr-92,121 min,46,7,"18,094",tt0104990,N/A,0,0,2,0,Musical,0
Nine,2009,PG-13,25-Dec-09,118 min,49,5.8,"41,873",tt0875034,"$19,628,665 ",2,0,0,0,Musical,0
Omega Man,1971,PG,1-Aug-71,98 min,56,6.5,"28,013",tt0067525,N/A,0,0,0,0,Sci-Fi,0
Orphan,2009,R,24-Jul-09,123 min,42,6.9,"186,072",tt1148204,"$41,472,886 ",1,3,3,8,Mystery,8
Pirates of the Caribbean,2003,PG-13,9-Jul-03,143 min,63,8,"997,584",tt0325980,"$305,343,252 ",0,0,5,0,Adventure,0
Pokemon: Mewtwo Returns,2000,Not Rated,4-Dec-01,63 min,N/A,6.5,"3,164",tt0304564,N/A,0,0,0,0,Family,0
Roughshod,1949,PASSED,11-May-49,88 min,N/A,6.7,293,tt0041827,N/A,0,0,0,0,Western,0
Sister Act,1992,PG,29-May-92,100 min,51,6.4,"84,843",tt0105417,"$139,605,150 ",4,3,6,1,Musical,0
Star Wars: The Force Awakens,2015,N/A,14-Dec-15,108 min,N/A,7.8,5,tt7768640,N/A,0,0,2,0,Fantasy,0
Sweeney Todd: The Demon Barber of Fleet Street,2007,R,21-Dec-07,116 min,83,7.3,"335,791",tt0408236,"$52,900,000 ",0,1,1,0,Musical,2
The Abyss,1989,PG-13,9-Aug-89,171 min,62,7.6,"158,749",tt0096754,N/A,5,9,18,0,Sci-Fi,15
The Addams Family,1991,PG-13,22-Nov-91,99 min,57,6.9,"125,986",tt0101272,N/A,0,0,3,0,Horror,0
The Adjustment Bureau,2011,PG-13,4-Mar-11,106 min,60,7,"237,960",tt1385826,"$62,453,315 ",1,1,0,2,Sci-Fi,9
The American,2010,R,1-Sep-10,105 min,61,6.3,"90,090",tt1440728,"$35,596,227 ",0,3,1,8,Thriller,6
The American President,1995,PG-13,17-Nov-95,114 min,67,6.8,"50,337",tt0112346,N/A,6,1,10,3,Romance,6
The Amityville Asylum,2013,N/A,3-Jun-13,88 min,N/A,2.6,"1,217",tt2216212,N/A,0,5,5,37,Horror,11
The Anniversary Party,2001,R,29-Jun-01,115 min,56,6.3,"7,903",tt0254099,"$2,974,308 ",2,3,13,65,Drama,18
The Apartment,1960,Not Rated,16-Sep-60,125 min,94,8.3,"157,267",tt0053604,N/A,0,0,2,0,Comedy,0
The Artist,2011,PG-13,20-Jan-12,100 min,89,7.9,"226,087",tt1655442,"$44,667,095 ",1,0,1,0,Romance,0
The Assignment,1997,R,26-Sep-97,115 min,N/A,6.9,"8,568",tt0118647,N/A,10,7,3,44,Thriller,23
The Avengers,2012,PG-13,4-May-12,143 min,69,8,"1,234,641",tt0848228,"$623,279,547 ",0,0,2,1,Adventure,0
The Bachelor Party,1957,Approved,10-Apr-57,92 min,N/A,6.9,547,tt0050156,N/A,0,0,0,0,Drama,0
The Back-up Plan,2010,PG-13,23-Apr-10,104 min,34,5.4,"47,608",tt1212436,"$37,481,242 ",15,2,1,17,Romance,11
The Battle of Algiers,1966,Not Rated,20-Sep-67,121 min,96,8.1,"50,366",tt0058946,"$55,908 ",0,1,0,0,War,1
The Battle of Shaker Heights,2003,PG-13,22-Aug-03,79 min,33,6,"4,162",tt0357470,N/A,2,2,5,19,Romance,7
The Beach,2000,R,11-Feb-00,119 min,43,6.7,"218,068",tt0163978,N/A,0,0,0,0,Thriller,0
The Believer,2001,R,23-Aug-01,98 min,75,7.2,"36,011",tt0247199,N/A,7,0,1,36,Drama,15
The Best Exotic Marigold Hotel,2011,PG-13,25-May-12,124 min,62,7.2,"88,429",tt1412386,"$46,377,022 ",0,0,0,2,Drama,0
The Big Blue,1988,PG,19-Aug-88,168 min,35,7.6,"46,901",tt0095250,"$80,804 ",4,3,9,2,Romance,5
The Big Lebowski,1998,R,6-Mar-98,117 min,71,8.1,"705,424",tt0118715,N/A,9,4,10,220,Mystery,39
The Big Sick,2017,R,14-Jul-17,120 min,86,7.5,"116,020",tt5462602,"$42,824,653 ",5,1,1,56,Romance,14
The Big White,2005,R,3-Dec-05,100 min,31,6.4,"13,749",tt0402850,N/A,3,2,2,21,Crime,7
The Birds,1963,PG-13,29-Mar-63,119 min,90,7.7,"165,411",tt0056869,N/A,0,0,4,0,Horror,0
The Black Dahlia,2006,R,15-Sep-06,121 min,49,5.6,"70,353",tt0387877,"$22,518,325 ",1,4,14,42,Mystery,16
The Blind Side,2009,PG-13,20-Nov-09,129 min,53,7.6,"283,809",tt0878804,"$255,900,000 ",11,5,2,0,Drama,0
The Bling Ring,2013,R,21-Jun-13,90 min,66,5.6,"81,515",tt2132285,"$5,500,000 ",1,5,0,28,Crime,8
The Book of Eli,2010,R,15-Jan-10,118 min,53,6.9,"286,574",tt1037705,"$94,800,000 ",4,4,6,15,Western,12
The Boondock Saints,1999,R,19-Nov-99,108 min,44,7.8,"223,806",tt0144117,N/A,26,5,2,171,Thriller,51
The Bounty Hunter,2010,PG-13,19-Mar-10,110 min,22,5.6,"118,481",tt1038919,"$66,700,000 ",13,9,1,20,Romance,19
The Bourne Identity,2002,PG-13,14-Jun-02,119 min,68,7.9,"496,096",tt0258463,"$121,500,000 ",1,1,0,28,Mystery,21
The Bourne Supremacy,2004,PG-13,23-Jul-04,108 min,73,7.7,"424,462",tt0372183,"$176,049,130 ",0,0,0,0,Mystery,0
The Bourne Ultimatum,2007,PG-13,3-Aug-07,115 min,85,8,"595,365",tt0440963,"$227,400,000 ",0,0,2,1,Mystery,5
The Box,2009,PG-13,6-Nov-09,115 min,47,5.6,"87,598",tt0362478,"$114,882,598 ",2,0,3,0,Mystery,1
The Boxtrolls,2014,PG,26-Sep-14,96 min,61,6.8,"53,196",tt0787474,"$52,098,992 ",0,0,0,0,Animation,0
The Breakfast Club,1985,R,15-Feb-85,97 min,66,7.9,"344,110",tt0088847,N/A,8,8,5,26,Drama,24
The Brothers Bloom,2008,PG-13,19-Jun-09,114 min,55,6.8,"48,178",tt0844286,"$3,479,844 ",3,5,5,19,Romance,12
The Butterfly Effect,2004,R,23-Jan-04,113 min,30,7.6,"441,949",tt0289879,"$57,200,000 ",12,2,7,41,Fantasy,23
The Cell,2000,R,18-Aug-00,107 min,40,6.3,"93,234",tt0209958,N/A,2,3,6,8,Horror,3
The Change-Up,2011,R,5-Aug-11,112 min,39,6.3,"161,706",tt1488555,"$37,000,000 ",6,5,0,130,Comedy,35
The Cider House Rules,1999,PG-13,7-Jan-00,126 min,75,7.4,"90,660",tt0124315,N/A,2,0,5,0,Romance,2
The Cincinnati Kid,1965,TV-14,30-Oct-65,102 min,67,7.3,"14,507",tt0059037,N/A,1,3,6,0,Drama,0
The Cooler,2003,R,16-Jan-04,101 min,69,6.9,"31,971",tt0318374,"$8,179,538 ",4,4,5,77,Romance,20
The Croods,2013,PG,22-Mar-13,98 min,55,7.2,"185,548",tt0481499,"$187,165,546 ",0,0,0,0,Animation,0
The Crow,1994,R,13-May-94,102 min,71,7.6,"162,523",tt0109506,N/A,14,4,7,28,Horror,20
The Crow Salvation,2000,R,14-Jun-00,102 min,N/A,4.9,"10,584",tt0132910,N/A,4,3,7,33,Horror,14
The Crow: City of Angels,1996,R,30-Aug-96,84 min,N/A,4.7,"18,798",tt0115986,N/A,5,4,4,21,Fantasy,4
The Curious Case of Benjamin Button,2008,PG-13,25-Dec-08,166 min,70,7.8,"572,055",tt0421715,"$127,490,802 ",4,0,5,2,Mystery,6
The Damned United,2009,R,27-Mar-09,98 min,81,7.5,"40,449",tt1226271,"$315,306 ",0,0,0,57,Drama,0
The Dark Knight Rises,2012,PG-13,20-Jul-12,164 min,78,8.4,"1,468,104",tt1345836,"$448,130,642 ",4,4,1,0,Thriller,0
The Day the Earth Stood Still,2008,PG-13,12-Dec-08,104 min,40,5.5,"160,944",tt0970416,"$79,136,963 ",0,0,0,0,Sci-Fi,0
The Debt,2010,R,31-Aug-11,113 min,65,6.8,"63,017",tt1226753,"$31,146,570 ",1,0,0,26,Thriller,3
The Deer Hunter,1978,R,23-Feb-79,183 min,86,8.1,"302,090",tt0077416,N/A,10,3,22,68,War,19
The Departed,2006,R,6-Oct-06,151 min,85,8.5,"1,150,373",tt0407887,"$132,300,000 ",10,2,2,194,Thriller,22
The Descendants,2011,R,9-Dec-11,115 min,84,7.3,"229,150",tt1033575,"$78,500,000 ",1,4,7,25,Comedy,13
The Devil Wears Prada,2006,PG-13,30-Jun-06,109 min,62,6.9,"359,642",tt0458352,"$124,700,000 ",8,0,2,0,Comedy,3
The Distinguished Gentleman,1992,R,4-Dec-92,112 min,45,5.9,"14,888",tt0104114,N/A,20,3,10,12,Comedy,24
The Doors,1991,R,1-Mar-91,140 min,62,7.2,"81,677",tt0101761,N/A,13,0,4,95,Drama,25
The Elephant Man,1980,PG,10-Oct-80,124 min,78,8.1,"212,484",tt0080678,N/A,0,0,2,0,Drama,0
The English Patient,1996,R,6-Dec-96,162 min,87,7.4,"174,208",tt0116209,N/A,0,1,0,9,Romance,0
The Fabulous Baker Boys,1989,R,13-Oct-89,114 min,85,6.8,"21,091",tt0097322,N/A,5,0,15,27,Romance,9
The Family Man,2000,PG-13,22-Dec-00,125 min,42,6.8,"100,623",tt0218967,N/A,2,2,17,1,Romance,6
The Fault in Our Stars,2014,PG-13,6-Jun-14,126 min,69,7.7,"334,214",tt2582846,N/A,5,0,2,3,Romance,8
The Fifth Element,1997,PG-13,9-May-97,126 min,52,7.7,"423,303",tt0119116,N/A,1,1,3,8,Sci-Fi,8
The Fighter,2010,R,17-Dec-10,116 min,79,7.8,"332,259",tt0964517,"$93,571,803 ",9,2,1,51,Drama,20
The Flintstones,1994,PG,27-May-94,91 min,38,4.9,"73,956",tt0109813,N/A,2,1,2,0,Family,0
The French Connection,1971,R,9-Oct-71,104 min,94,7.7,"106,236",tt0067116,N/A,13,7,2,3,Thriller,12
The Fugitive,1993,PG-13,6-Aug-93,130 min,87,7.8,"259,480",tt0106977,N/A,2,2,4,1,Mystery,7
The Game,1997,R,12-Sep-97,129 min,61,7.8,"333,127",tt0119174,N/A,6,4,8,45,Mystery,30
The Getaway,1972,PG,16-Dec-72,123 min,55,7.4,"27,036",tt0068638,N/A,3,0,2,0,Thriller,1
The Ghost and the Darkness,1996,R,11-Oct-96,110 min,N/A,6.8,"55,073",tt0116409,N/A,0,1,4,1,Thriller,1
The Girl with the Dragon Tattoo,2011,R,21-Dec-11,158 min,71,7.8,"409,137",tt1568346,"$102,515,793 ",0,0,0,4,Mystery,0
The Godfather Part III,1990,R,25-Dec-90,162 min,60,7.6,"347,141",tt0099674,N/A,2,2,0,2,Mystery,5
The Good Girl,2002,R,30-Aug-02,93 min,71,6.4,"42,458",tt0279113,N/A,3,0,3,4,Comedy,4
The Graduate,1967,PG,21-Dec-67,106 min,83,8,"247,819",tt0061722,N/A,0,0,5,0,Romance,0
The Grapes of Wrath,1940,Passed,15-Mar-40,129 min,96,8,"84,170",tt0032551,N/A,0,0,0,0,Drama,0
The Great Gatsby,2013,PG-13,10-May-13,143 min,55,7.2,"462,069",tt1343092,"$144,812,796 ",0,1,5,0,Romance,0
The Green Mile,1999,R,10-Dec-99,189 min,61,8.6,"1,098,132",tt0120689,N/A,13,6,23,15,Fantasy,10
The Grifters,1990,R,25-Jan-91,110 min,86,6.9,"24,653",tt0099703,N/A,0,1,8,4,Crime,5
The Grudge,2004,PG-13,22-Oct-04,91 min,49,5.9,"136,551",tt0391198,"$110,175,871 ",0,0,1,0,Mystery,0
The Hangover,2009,R,5-Jun-09,100 min,73,7.7,"701,634",tt1119646,"$277,313,371 ",11,2,9,3,Mystery,8
The Haunting,1999,PG-13,23-Jul-99,113 min,42,5,"69,750",tt0171363,N/A,0,2,3,3,Mystery,3
The Hebrew Hammer,2003,R,25-Mar-04,85 min,41,6.1,"4,554",tt0317640,N/A,10,3,6,10,Comedy,11
