,Film,Genre,A,B,D,F,S,Unnamed: 0,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice
140,"kids are all right, the",Comedy,14,2,0,30,10,,,,,,,,,,
141,gandhi,Drama,0,0,7,0,0,0.0,1982,PG,25 Feb 1983,191 min,79.0,8.0,"214,287",tt0083987,
142,"hebrew hammer, the",Comedy,10,3,6,10,11,,,,,,,,,,
143,henry fool,Comedy,5,0,1,17,13,0.0,1997,R,19 Jun 1998,137 min,68.0,7.2,"6,762",tt0122529,
144,"hospital, the",Comedy,5,13,5,1,1,,,,,,,,,,
145,human nature,Comedy,3,5,4,14,8,0.0,2001,R,12 Sep 2001,96 min,56.0,6.4,"17,093",tt0219822,"$651,165"
146,g.i. jane,Drama,11,3,11,14,17,0.0,1997,R,22 Aug 1997,125 min,62.0,5.9,"71,574",tt0119173,
147,fruitvale station,Drama,15,11,1,58,40,0.0,2013,R,26 Jul 2013,85 min,85.0,7.5,"72,709",tt2334649,"$11,010,136"
148,grand theft parsons,Comedy,3,5,9,2,9,0.0,2003,PG-13,18 Jun 2004,88 min,46.0,6.0,"3,273",tt0338075,
149,heathers,Comedy,16,11,22,28,32,0.0,1989,R,31 Mar 1989,103 min,72.0,7.2,"83,648",tt0097493,
150,"happy birthday, wanda june",Comedy,4,7,10,10,11,0.0,1971,R,09 Dec 1971,105 min,,6.1,248,tt0067180,
151,i'll do anything,Comedy,0,2,2,11,11,0.0,1994,PG-13,04 Feb 1994,115 min,,5.5,"2,389",tt0110097,
152,in the loop,Comedy,2,2,0,150,26,0.0,2009,Not Rated,04 Sep 2009,106 min,83.0,7.4,"53,087",tt1226774,"$2,251,324"
153,good will hunting,Comedy,13,4,7,93,28,0.0,1997,R,09 Jan 1998,126 min,70.0,8.3,"829,889",tt0119217,
154,"good girl, the",Comedy,3,0,3,4,4,,,,,,,,,,
155,game 6,Comedy,0,1,0,0,2,0.0,2005,R,01 Jan 2005,87 min,56.0,5.8,"2,422",tt0425055,
156,five easy pieces,Drama,6,3,10,1,13,0.0,1970,R,12 Sep 1970,98 min,85.0,7.5,"32,018",tt0065724,
157,foxcatcher,Drama,1,1,0,7,4,0.0,2014,R,16 Jan 2015,134 min,81.0,7.0,"131,194",tt1100089,"$9,744,477"
158,frances,Drama,2,5,15,8,4,0.0,1982,R,11 Mar 1983,140 min,48.0,7.4,"6,605",tt0083967,
159,funny people,Comedy,9,4,1,101,54,0.0,2009,R,31 Jul 2009,146 min,60.0,6.3,"112,695",tt1201167,"$51,814,190"
160,ghost world,Comedy,9,7,1,28,6,0.0,2001,R,21 Sep 2001,111 min,88.0,7.3,"110,999",tt0162346,"$4,694,484"
161,flight,Drama,10,4,6,61,27,0.0,2012,R,02 Nov 2012,138 min,76.0,7.3,"317,748",tt1907668,"$89,400,000"
162,ferris bueller's day off,Comedy,19,1,4,0,29,0.0,1986,PG-13,11 Jun 1986,103 min,61.0,7.8,"309,550",tt0091042,
163,fletch,Comedy,0,0,0,0,0,0.0,1985,PG,31 May 1985,98 min,68.0,6.9,"46,314",tt0089155,
164,elizabeth: the golden age,Drama,0,1,0,0,0,0.0,2007,PG-13,12 Oct 2007,114 min,45.0,6.8,"64,844",tt0414055,"$16,264,475"
165,"doors, the",Drama,13,0,4,95,25,,,,,,,,,,
166,"fighter, the",Drama,9,2,1,51,20,,,,,,,,,,
167,four rooms,Comedy,10,4,4,85,14,0.0,1995,R,25 Dec 1995,98 min,,6.8,"95,749",tt0113101,
168,forrest gump,Comedy,8,7,17,5,11,0.0,1994,PG-13,06 Jul 1994,142 min,82.0,8.8,"1,737,186",tt0109830,"$330,000,000"
169,drop dead gorgeous,Comedy,19,10,18,9,10,0.0,1999,PG-13,23 Jul 1999,97 min,28.0,6.6,"31,682",tt0157503,
170,ed tv,Comedy,23,1,0,2,7,,,,,,,,,,
171,fear and loathing in las vegas,Comedy,4,7,48,44,33,0.0,1998,R,22 May 1998,118 min,41.0,7.6,"252,866",tt0120669,
172,ed wood,Comedy,5,3,9,11,9,0.0,1994,R,07 Oct 1994,127 min,70.0,7.8,"162,206",tt0109707,
173,election,Comedy,2,3,1,10,2,0.0,1999,R,07 May 1999,103 min,83.0,7.2,"87,166",tt0126886,
174,fast times at ridgemont high,Comedy,2,4,0,19,10,0.0,1982,R,13 Aug 1982,90 min,61.0,7.2,"89,930",tt0083929,
175,erin brockovich,Comedy,12,5,31,33,35,0.0,2000,R,17 Mar 2000,131 min,73.0,7.3,"169,051",tt0195685,
176,"elephant man, the",Drama,0,0,2,0,0,,,,,,,,,,
177,do the right thing,Comedy,11,2,6,62,25,0.0,1989,R,21 Jul 1989,120 min,93.0,7.9,"83,609",tt0097216,
178,custody,Comedy,3,2,0,3,3,0.0,2017,,07 Feb 2018,93 min,83.0,7.5,"7,590",tt6002232,
179,"distinguished gentleman, the",Comedy,20,3,10,12,24,,,,,,,,,,
180,dave barry's complete guide to guys,Comedy,2,0,0,0,10,,,,,,,,,,
181,death at a funeral,Comedy,5,0,19,3,22,0.0,2007,R,07 Sep 2007,90 min,67.0,7.4,"106,835",tt0795368,
182,code of silence,Drama,13,3,6,26,16,0.0,1985,R,03 May 1985,101 min,64.0,6.1,"6,624",tt0088936,
183,dear white people,Drama,9,11,9,37,19,0.0,2014,R,04 Dec 2014,108 min,79.0,6.1,"23,926",tt2235108,
184,"devil wears prada, the",Comedy,8,0,2,0,3,,,,,,,,,,
185,"descendants, the",Comedy,1,4,7,25,13,,,,,,,,,,
186,creation,Drama,0,0,3,0,3,0.0,2009,PG-13,25 Sep 2009,108 min,51.0,6.7,"13,626",tt0974014,"$300,000"
187,"damned united, the",Drama,0,0,0,57,0,,,,,,,,,,
188,"day the clown cried, the",Drama,2,0,7,0,0,,,,,,,,,,
189,dallas buyers club,Drama,12,4,9,58,37,0.0,2013,R,22 Nov 2013,117 min,80.0,8.0,"426,639",tt0790636,"$23,750,994"
190,dead poets society,Drama,1,0,6,0,3,0.0,1989,PG,09 Jun 1989,128 min,79.0,8.1,"407,143",tt0097165,
191,diner,Comedy,4,3,1,4,5,0.0,1982,R,21 May 1982,110 min,82.0,7.1,"18,111",tt0083833,
192,days of heaven,Drama,0,0,0,0,0,0.0,1978,PG,06 Oct 1978,94 min,93.0,7.8,"50,241",tt0077405,
193,cobb,Drama,16,9,38,40,24,0.0,1994,R,02 Dec 1994,128 min,66.0,6.4,"6,890",tt0109450,
194,bridesmaids,Comedy,7,5,2,6,19,0.0,2011,R,13 May 2011,125 min,75.0,6.8,"261,565",tt1478338,"$166,500,000"
195,charlie's angels,Comedy,11,6,7,2,8,0.0,2000,PG-13,03 Nov 2000,98 min,52.0,5.5,"172,273",tt0160127,"$124,420,707"
196,city of joy,Drama,2,0,13,0,0,0.0,1992,PG-13,17 Apr 1992,132 min,,6.5,"4,526",tt0103976,
197,cedar rapids,Comedy,8,1,8,38,34,0.0,2011,R,18 Mar 2011,87 min,70.0,6.2,"35,674",tt1477837,"$6,800,000"
198,"cincinnati kid, the",Drama,1,3,6,0,0,,,,,,,,,,
199,"change-up, the",Comedy,6,5,0,130,35,,,,,,,,,,
200,clerks,Comedy,12,10,8,80,38,0.0,1994,R,09 Nov 1994,92 min,70.0,7.7,"208,478",tt0109445,
201,tall in the saddle,Western,0,0,0,0,0,0.0,1944,Approved,29 Sep 1944,87 min,,7.0,"2,719",tt0037343,
202,bean,Comedy,4,1,11,0,1,0.0,1997,PG-13,07 Nov 1997,89 min,52.0,6.5,"94,780",tt0118689,
203,candle to water,Drama,0,11,2,75,15,0.0,2012,,01 Nov 2012,110 min,,4.6,17,tt2387411,
204,"breakfast club, the",Drama,8,8,5,26,24,,,,,,,,,,
205,bringing out the dead,Drama,4,1,4,11,10,0.0,1999,R,22 Oct 1999,121 min,70.0,6.8,"62,055",tt0163988,
206,boogie nights,Drama,18,3,3,98,25,0.0,1997,R,31 Oct 1997,155 min,85.0,7.9,"231,876",tt0118749,
207,bonfire of the vanities,Drama,8,7,4,31,19,,,,,,,,,,
208,break,Drama,0,0,0,0,0,0.0,2019,,14 Feb 2019,85 min,,4.4,"1,078",tt9805504,
209,breaking away,Drama,1,0,15,0,3,0.0,1979,PG,20 Jul 1979,101 min,91.0,7.7,"21,018",tt0078902,
210,authors anonymous,Comedy,1,0,6,0,3,0.0,2014,PG-13,18 Mar 2014,92 min,16.0,4.3,"1,974",tt2114461,
211,boyhood,Drama,13,8,8,41,22,0.0,2014,R,15 Aug 2014,165 min,100.0,7.9,"328,711",tt1065073,"$18,859,617"
212,bachelor party,Comedy,12,3,3,2,21,0.0,1984,R,29 Jun 1984,105 min,56.0,6.3,"34,617",tt0086927,
213,austin powers - the spy who shagged me,Comedy,12,1,3,0,5,,,,,,,,,,
214,"blind side, the",Drama,11,5,2,0,0,,,,,,,,,,
215,black snake moan,Drama,10,6,12,29,42,0.0,2006,R,02 Mar 2007,116 min,52.0,6.9,"59,991",tt0462200,"$9,262,318"
216,bad teacher,Comedy,7,3,2,23,10,0.0,2011,R,24 Jun 2011,92 min,47.0,5.6,"188,694",tt1284575,"$100,292,856"
217,bad boys,Comedy,21,4,6,64,30,0.0,1995,R,07 Apr 1995,119 min,41.0,6.9,"233,204",tt0112442,
218,all about steve,Comedy,9,0,2,1,2,0.0,2009,PG-13,04 Sep 2009,99 min,17.0,4.8,"39,062",tt0881891,"$33,806,061"
219,austin powers - international man of mystery,Comedy,2,0,4,0,1,,,,,,,,,,
220,after school special,Comedy,9,0,6,2,14,0.0,2017,TV-MA,27 Jun 2017,78 min,,2.3,214,tt3291632,
221,american milkshake,Comedy,10,0,9,26,22,0.0,2013,R,20 Jan 2013,83 min,30.0,4.8,309,tt2254364,
222,"apartment, the",Comedy,0,0,2,0,0,,,,,,,,,,
223,arthur,Comedy,5,2,1,8,15,0.0,2011,PG-13,08 Apr 2011,110 min,36.0,5.7,"50,207",tt1334512,"$29,200,000"
224,american pie,Comedy,6,0,9,33,29,0.0,1999,R,09 Jul 1999,95 min,58.0,7.0,"367,618",tt0163651,
225,tombstone,Western,4,5,27,1,1,0.0,1993,R,25 Dec 1993,130 min,50.0,7.8,"122,147",tt0108358,
226,12,Comedy,0,0,0,0,0,0.0,2007,PG-13,20 Sep 2007,159 min,72.0,7.7,"13,680",tt0488478,
227,true grit,Western,1,3,9,0,0,0.0,2010,PG-13,22 Dec 2010,110 min,80.0,7.6,"301,962",tt1403865,"$171,031,347"
