Film,Genre,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,A,B,D,F,S
Get Out,Mystery,2017,R,2/24/2017,104,85,7.7,463872,tt5052448,175428355,4,2,9,31,33
Ghostbusters 2,Sci-Fi,2014,N/A,9/16/2014,17,,6.4,5,tt4083432,,0,0,1,0,2
Godfather Part II,Crime,1974,R,12/18/1974,202,90,9,1087543,tt0071562,,3,5,8,2,3
Gone Baby Gone,Mystery,2007,R,10/19/2007,114,72,7.6,243532,tt0452623,20300218,6,7,2,84,26
Gothika,Mystery,2003,R,11/21/2003,98,38,5.8,104043,tt0348836,59537388,1,2,11,15,6
Gremlins 2,Horror,1990,PG-13,6/15/1990,106,,6.4,89769,tt0099700,,1,0,2,0,1
Hanna,Mystery,2011,PG-13,4/8/2011,111,65,6.8,186310,tt0993842,40200000,0,1,0,8,7
Hellraiser: Deader,Mystery,2005,R,6/7/2005,88,,4.6,8665,tt0337636,,1,0,4,8,4
Honeydripper,Musical,2007,PG-13,5/9/2008,124,68,6.6,1856,tt0829193,,6,0,14,0,1
I Still Know What You Did Last Summer,Mystery,1998,R,11/13/1998,100,21,4.7,66809,tt0130018,,0,0,6,0,0
Inception,Mystery,2010,PG-13,7/16/2010,148,74,8.8,1980743,tt1375666,292568851,2,0,3,0,1
Interview with the Vampire,Horror,1994,R,11/11/1994,123,59,7.6,287024,tt0110148,,0,0,6,0,5
JFK,Mystery,1991,R,12/20/1991,189,72,8,137118,tt0102138,,6,16,28,50,17
Jimmy and Judy,Action,2006,R,2/5/2006,99,,6,1509,tt0425151,,15,9,7,108,35
Jurassic Park: The Lost World,Horror,1997,N/A,N/A,13,,7.1,52,tt0369690,,1,1,0,0,1
King Kong,Mystery,2005,PG-13,12/14/2005,187,81,7.2,382593,tt0360717,218100000,0,0,3,0,0
Klute,Mystery,1971,R,6/25/1971,114,81,7.1,21360,tt0067309,,0,3,3,0,0
L.A. Confidential,Mystery,1997,R,9/19/1997,138,90,8.2,517644,tt0119488,,4,0,6,38,13
La La Land,Musical,2016,PG-13,12/25/2016,128,94,8,481024,tt3783958,151058124,2,0,3,3,5
Labyrinth,Musical,1986,PG,6/27/1986,101,50,7.4,120325,tt0091369,,0,0,6,0,0
Les Miserables,Musical,1978,Not Rated,12/27/1978,150,,7.3,1526,tt0077936,,0,1,4,0,1
Limitless,Mystery,2011,PG-13,3/18/2011,105,59,7.4,516481,tt1219289,79230923,5,1,1,38,17
Lone Star,Mystery,1996,R,6/21/1996,135,78,7.4,27357,tt0116905,,4,4,15,6,6
Lord of the Rings: Return of the King,Fantasy,2003,Not Rated,12/12/2003,52,,6.5,290,tt0405185,,0,0,0,0,0
Lord of the Rings: The Two Towers,Fantasy,2002,PG-13,12/18/2002,179,87,8.7,1438266,tt0167261,339700000,0,0,0,0,0
Lost Highway,Mystery,1997,R,1/15/1997,134,52,7.6,126709,tt0116922,,2,2,3,13,6
Lost Horizon,Mystery,1937,Approved,9/1/1937,132,,7.7,11468,tt0029162,,0,0,0,0,0
Man in the Iron Mask,Adventure,1998,PG-13,3/13/1998,132,48,6.5,153059,tt0120744,,0,0,0,0,2
Manhattan Murder Mystery,Mystery,1993,PG,8/18/1993,104,,7.4,37757,tt0107507,,0,0,2,0,1
Mary Poppins,Musical,1964,G,6/18/1965,139,88,7.8,153025,tt0058331,,0,0,0,0,0
Master and Commander,Adventure,2003,PG-13,11/14/2003,138,81,7.4,196696,tt0311113,92100000,0,0,8,0,0
Meet Joe Black,Mystery,1998,PG-13,11/13/1998,178,43,7.2,208443,tt0119643,,4,2,8,4,7
Memento,Mystery,2000,R,5/25/2001,113,80,8.4,1090730,tt0209144,23844220,0,0,0,12,5
Minority Report,Mystery,2002,PG-13,6/21/2002,145,80,7.6,494169,tt0181689,132000000,0,0,0,0,0
Mirrors,Mystery,2008,R,8/15/2008,110,35,6.2,99967,tt0790686,30575158,1,0,6,6,4
Mission Impossible II,Mystery,2000,PG-13,5/24/2000,123,59,6.1,306087,tt0120755,,2,3,10,0,2
Moon,Mystery,2009,R,7/10/2009,97,67,7.9,327533,tt1182345,4785434,3,1,1,18,8
Mrs. Brown,Romance,1968,G,1/1/1968,110,,4.7,381,tt0063325,,0,0,1,0,3
Mulan,Musical,1998,G,6/19/1998,88,71,7.6,241518,tt0120762,,0,0,0,0,0
Mulholland Drive,Mystery,2001,R,10/19/2001,147,85,8,309245,tt0166924,7077663,1,1,4,0,1
Nashville,Musical,1975,R,7/1/1975,160,96,7.7,22811,tt0073440,,1,0,3,0,0
Newsies,Musical,1992,PG,4/10/1992,121,46,7,18094,tt0104990,,0,0,2,0,0
Nine,Musical,2009,PG-13,12/25/2009,118,49,5.8,41873,tt0875034,19628665,2,0,0,0,0
Omega Man,Sci-Fi,1971,PG,8/1/1971,98,56,6.5,28013,tt0067525,,0,0,0,0,0
Orphan,Mystery,2009,R,7/24/2009,123,42,6.9,186072,tt1148204,41472886,1,3,3,8,8
Pirates of the Caribbean,Adventure,2003,PG-13,7/9/2003,143,63,8,997584,tt0325980,305343252,0,0,5,0,0
Pokemon: Mewtwo Returns,Family,2000,Not Rated,12/4/2001,63,,6.5,3164,tt0304564,,0,0,0,0,0
Roughshod,Western,1949,PASSED,5/11/1949,88,,6.7,293,tt0041827,,0,0,0,0,0
Sister Act,Musical,1992,PG,5/29/1992,100,51,6.4,84843,tt0105417,139605150,4,3,6,1,0
Star Wars: The Force Awakens,Fantasy,2015,N/A,12/14/2015,108,,7.8,5,tt7768640,,0,0,2,0,0
Sweeney Todd: The Demon Barber of Fleet Street,Musical,2007,R,12/21/2007,116,83,7.3,335791,tt0408236,52900000,0,1,1,0,2
The Abyss,Sci-Fi,1989,PG-13,8/9/1989,171,62,7.6,158749,tt0096754,,5,9,18,0,15
The Addams Family,Horror,1991,PG-13,11/22/1991,99,57,6.9,125986,tt0101272,,0,0,3,0,0
The Adjustment Bureau,Sci-Fi,2011,PG-13,3/4/2011,106,60,7,237960,tt1385826,62453315,1,1,0,2,9
The American,Thriller,2010,R,9/1/2010,105,61,6.3,90090,tt1440728,35596227,0,3,1,8,6
The American President,Romance,1995,PG-13,11/17/1995,114,67,6.8,50337,tt0112346,,6,1,10,3,6
The Amityville Asylum,Horror,2013,N/A,6/3/2013,88,,2.6,1217,tt2216212,,0,5,5,37,11
The Anniversary Party,Drama,2001,R,6/29/2001,115,56,6.3,7903,tt0254099,2974308,2,3,13,65,18
The Apartment,Comedy,1960,Not Rated,9/16/1960,125,94,8.3,157267,tt0053604,,0,0,2,0,0
The Artist,Romance,2011,PG-13,1/20/2012,100,89,7.9,226087,tt1655442,44667095,1,0,1,0,0
The Assignment,Thriller,1997,R,9/26/1997,115,,6.9,8568,tt0118647,,10,7,3,44,23
The Avengers,Adventure,2012,PG-13,5/4/2012,143,69,8,1234641,tt0848228,623279547,0,0,2,1,0
The Bachelor Party,Drama,1957,Approved,4/10/1957,92,,6.9,547,tt0050156,,0,0,0,0,0
The Back-up Plan,Romance,2010,PG-13,4/23/2010,104,34,5.4,47608,tt1212436,37481242,15,2,1,17,11
The Battle of Algiers,War,1966,Not Rated,9/20/1967,121,96,8.1,50366,tt0058946,55908,0,1,0,0,1
The Battle of Shaker Heights,Romance,2003,PG-13,8/22/2003,79,33,6,4162,tt0357470,,2,2,5,19,7
The Beach,Thriller,2000,R,2/11/2000,119,43,6.7,218068,tt0163978,,0,0,0,0,0
The Believer,Drama,2001,R,8/23/2001,98,75,7.2,36011,tt0247199,,7,0,1,36,15
The Best Exotic Marigold Hotel,Drama,2011,PG-13,5/25/2012,124,62,7.2,88429,tt1412386,46377022,0,0,0,2,0
The Big Blue,Romance,1988,PG,8/19/1988,168,35,7.6,46901,tt0095250,80804,4,3,9,2,5
The Big Lebowski,Mystery,1998,R,3/6/1998,117,71,8.1,705424,tt0118715,,9,4,10,220,39
The Big Sick,Romance,2017,R,7/14/2017,120,86,7.5,116020,tt5462602,42824653,5,1,1,56,14
The Big White,Crime,2005,R,12/3/2005,100,31,6.4,13749,tt0402850,,3,2,2,21,7
The Birds,Horror,1963,PG-13,3/29/1963,119,90,7.7,165411,tt0056869,,0,0,4,0,0
The Black Dahlia,Mystery,2006,R,9/15/2006,121,49,5.6,70353,tt0387877,22518325,1,4,14,42,16
The Blind Side,Drama,2009,PG-13,11/20/2009,129,53,7.6,283809,tt0878804,255900000,11,5,2,0,0
The Bling Ring,Crime,2013,R,6/21/2013,90,66,5.6,81515,tt2132285,5500000,1,5,0,28,8
The Book of Eli,Western,2010,R,1/15/2010,118,53,6.9,286574,tt1037705,94800000,4,4,6,15,12
The Boondock Saints,Thriller,1999,R,11/19/1999,108,44,7.8,223806,tt0144117,,26,5,2,171,51
The Bounty Hunter,Romance,2010,PG-13,3/19/2010,110,22,5.6,118481,tt1038919,66700000,13,9,1,20,19
The Bourne Identity,Mystery,2002,PG-13,6/14/2002,119,68,7.9,496096,tt0258463,121500000,1,1,0,28,21
The Bourne Supremacy,Mystery,2004,PG-13,7/23/2004,108,73,7.7,424462,tt0372183,176049130,0,0,0,0,0
The Bourne Ultimatum,Mystery,2007,PG-13,8/3/2007,115,85,8,595365,tt0440963,227400000,0,0,2,1,5
The Box,Mystery,2009,PG-13,11/6/2009,115,47,5.6,87598,tt0362478,114882598,2,0,3,0,1
The Boxtrolls,Animation,2014,PG,9/26/2014,96,61,6.8,53196,tt0787474,52098992,0,0,0,0,0
The Breakfast Club,Drama,1985,R,2/15/1985,97,66,7.9,344110,tt0088847,,8,8,5,26,24
The Brothers Bloom,Romance,2008,PG-13,6/19/2009,114,55,6.8,48178,tt0844286,3479844,3,5,5,19,12
The Butterfly Effect,Fantasy,2004,R,1/23/2004,113,30,7.6,441949,tt0289879,57200000,12,2,7,41,23
The Cell,Horror,2000,R,8/18/2000,107,40,6.3,93234,tt0209958,,2,3,6,8,3
The Change-Up,Comedy,2011,R,8/5/2011,112,39,6.3,161706,tt1488555,37000000,6,5,0,130,35
The Cider House Rules,Romance,1999,PG-13,1/7/2000,126,75,7.4,90660,tt0124315,,2,0,5,0,2
The Cincinnati Kid,Drama,1965,TV-14,10/30/1965,102,67,7.3,14507,tt0059037,,1,3,6,0,0
The Cooler,Romance,2003,R,1/16/2004,101,69,6.9,31971,tt0318374,8179538,4,4,5,77,20
The Croods,Animation,2013,PG,3/22/2013,98,55,7.2,185548,tt0481499,187165546,0,0,0,0,0
The Crow,Horror,1994,R,5/13/1994,102,71,7.6,162523,tt0109506,,14,4,7,28,20
The Crow Salvation,Horror,2000,R,6/14/2000,102,,4.9,10584,tt0132910,,4,3,7,33,14
The Crow: City of Angels,Fantasy,1996,R,8/30/1996,84,,4.7,18798,tt0115986,,5,4,4,21,4
The Curious Case of Benjamin Button,Mystery,2008,PG-13,12/25/2008,166,70,7.8,572055,tt0421715,127490802,4,0,5,2,6
The Damned United,Drama,2009,R,3/27/2009,98,81,7.5,40449,tt1226271,315306,0,0,0,57,0
The Dark Knight Rises,Thriller,2012,PG-13,7/20/2012,164,78,8.4,1468104,tt1345836,448130642,4,4,1,0,0
The Day the Earth Stood Still,Sci-Fi,2008,PG-13,12/12/2008,104,40,5.5,160944,tt0970416,79136963,0,0,0,0,0
The Debt,Thriller,2010,R,8/31/2011,113,65,6.8,63017,tt1226753,31146570,1,0,0,26,3
The Deer Hunter,War,1978,R,2/23/1979,183,86,8.1,302090,tt0077416,,10,3,22,68,19
The Departed,Thriller,2006,R,10/6/2006,151,85,8.5,1150373,tt0407887,132300000,10,2,2,194,22
The Descendants,Comedy,2011,R,12/9/2011,115,84,7.3,229150,tt1033575,78500000,1,4,7,25,13
The Devil Wears Prada,Comedy,2006,PG-13,6/30/2006,109,62,6.9,359642,tt0458352,124700000,8,0,2,0,3
The Distinguished Gentleman,Comedy,1992,R,12/4/1992,112,45,5.9,14888,tt0104114,,20,3,10,12,24
The Doors,Drama,1991,R,3/1/1991,140,62,7.2,81677,tt0101761,,13,0,4,95,25
The Elephant Man,Drama,1980,PG,10/10/1980,124,78,8.1,212484,tt0080678,,0,0,2,0,0
The English Patient,Romance,1996,R,12/6/1996,162,87,7.4,174208,tt0116209,,0,1,0,9,0
The Fabulous Baker Boys,Romance,1989,R,10/13/1989,114,85,6.8,21091,tt0097322,,5,0,15,27,9
The Family Man,Romance,2000,PG-13,12/22/2000,125,42,6.8,100623,tt0218967,,2,2,17,1,6
The Fault in Our Stars,Romance,2014,PG-13,6/6/2014,126,69,7.7,334214,tt2582846,,5,0,2,3,8
The Fifth Element,Sci-Fi,1997,PG-13,5/9/1997,126,52,7.7,423303,tt0119116,,1,1,3,8,8
The Fighter,Drama,2010,R,12/17/2010,116,79,7.8,332259,tt0964517,93571803,9,2,1,51,20
The Flintstones,Family,1994,PG,5/27/1994,91,38,4.9,73956,tt0109813,,2,1,2,0,0
The French Connection,Thriller,1971,R,10/9/1971,104,94,7.7,106236,tt0067116,,13,7,2,3,12
The Fugitive,Mystery,1993,PG-13,8/6/1993,130,87,7.8,259480,tt0106977,,2,2,4,1,7
The Game,Mystery,1997,R,9/12/1997,129,61,7.8,333127,tt0119174,,6,4,8,45,30
The Getaway,Thriller,1972,PG,12/16/1972,123,55,7.4,27036,tt0068638,,3,0,2,0,1
The Ghost and the Darkness,Thriller,1996,R,10/11/1996,110,,6.8,55073,tt0116409,,0,1,4,1,1
The Girl with the Dragon Tattoo,Mystery,2011,R,12/21/2011,158,71,7.8,409137,tt1568346,102515793,0,0,0,4,0
The Godfather Part III,Mystery,1990,R,12/25/1990,162,60,7.6,347141,tt0099674,,2,2,0,2,5
The Good Girl,Comedy,2002,R,8/30/2002,93,71,6.4,42458,tt0279113,,3,0,3,4,4
The Graduate,Romance,1967,PG,12/21/1967,106,83,8,247819,tt0061722,,0,0,5,0,0
The Grapes of Wrath,Drama,1940,Passed,3/15/1940,129,96,8,84170,tt0032551,,0,0,0,0,0
The Great Gatsby,Romance,2013,PG-13,5/10/2013,143,55,7.2,462069,tt1343092,144812796,0,1,5,0,0
The Green Mile,Fantasy,1999,R,12/10/1999,189,61,8.6,1098132,tt0120689,,13,6,23,15,10
The Grifters,Crime,1990,R,1/25/1991,110,86,6.9,24653,tt0099703,,0,1,8,4,5
The Grudge,Mystery,2004,PG-13,10/22/2004,91,49,5.9,136551,tt0391198,110175871,0,0,1,0,0
The Hangover,Mystery,2009,R,6/5/2009,100,73,7.7,701634,tt1119646,277313371,11,2,9,3,8
The Haunting,Mystery,1999,PG-13,7/23/1999,113,42,5,69750,tt0171363,,0,2,3,3,3
The Hebrew Hammer,Comedy,2003,R,3/25/2004,85,41,6.1,4554,tt0317640,,10,3,6,10,11
The Help,Drama,2011,PG-13,8/10/2011,146,62,8.1,417090,tt1454029,169705587,1,0,9,0,7
The Hills Have Eyes,Horror,2006,R,3/10/2006,107,52,6.4,155070,tt0454841,41685824,1,3,1,7,3
The Hitchhiker's Guide to the Galaxy,Sci-Fi,2005,PG,4/29/2005,109,63,6.8,183411,tt0371724,51019112,2,0,2,0,1
The Horse Whisperer,Romance,1998,PG-13,5/15/1998,169,65,6.6,38203,tt0119314,,1,0,4,1,8
The Hospital,Comedy,1971,PG-13,5/11/1972,103,72,7.2,5068,tt0067217,,5,13,5,1,1
The Hudsucker Proxy,Romance,1994,PG,3/11/1994,111,53,7.2,75407,tt0110074,,1,0,3,0,0
The Hunt for Red October,Thriller,1990,PG,3/2/1990,135,58,7.6,173146,tt0099810,,3,0,6,3,1
The Hurt Locker,Thriller,2008,R,7/31/2009,131,95,7.6,411366,tt0887912,15700000,1,1,7,34,17
The Ice Storm,Drama,1997,R,11/26/1997,112,72,7.4,52562,tt0119349,,3,0,4,3,18
The Ides of March,Drama,2011,R,10/7/2011,101,67,7.1,211650,tt1124035,40962534,4,0,3,56,21
The Imaginarium of Doctor Parnassus,Mystery,2009,PG-13,1/8/2010,123,65,6.8,142268,tt1054606,7504196,0,3,2,1,1
The Incredibles,Sci-Fi,2004,PG,11/5/2004,115,90,8,638792,tt0317705,,0,0,0,0,0
The Informant,Thriller,1997,R,1/2/1998,105,,6.5,553,tt0119368,,0,0,8,12,8
The Insider,Thriller,1999,R,11/5/1999,157,84,7.8,156203,tt0140352,,4,0,4,34,11
The Invention of Lying,Comedy,2009,PG-13,10/2/2009,100,58,6.4,119508,tt1058017,18439082,7,3,3,21,8
The Iron Lady,Drama,2011,PG-13,1/13/2012,105,54,6.4,100501,tt1007029,29959436,0,0,2,0,0
The Island,Sci-Fi,2005,PG-13,7/22/2005,136,50,6.8,296205,tt0399201,35800000,4,0,1,20,4
The Italian Job,Adventure,2003,PG-13,5/30/2003,111,68,7,335751,tt0317740,105996316,4,2,4,7,16
The Jacket,Fantasy,2005,R,3/4/2005,103,44,7.1,106917,tt0366627,6282106,0,0,4,18,10
The Kids Are All Right,Comedy,2010,R,7/30/2010,106,86,7,123986,tt0842926,20803237,14,2,0,30,10
The King of Comedy,Crime,1982,PG,12/18/1982,109,73,7.8,82247,tt0085794,,1,0,3,0,2
The King's Speech,Drama,2010,R,12/25/2010,118,88,8,622890,tt1504320,138300000,0,0,6,10,7
The Kingdom,Thriller,2007,R,9/28/2007,110,56,7,115496,tt0431197,47456450,3,0,1,12,6
The LEGO Movie,Animation,2014,PG,2/7/2014,100,83,7.7,317777,tt1490017,244870202,2,0,0,0,0
The Ladykillers,Crime,2004,R,3/26/2004,104,56,6.2,97415,tt0335245,,21,7,17,73,19
The Last Boy Scout,Thriller,1991,R,12/13/1991,105,52,7,90346,tt0102266,,24,22,16,143,62
The Last Flight,Drama,1931,Passed,8/29/1931,76,,6.8,1199,tt0022054,,0,0,0,0,0
The Last Samurai,War,2003,R,12/5/2003,154,55,7.7,388736,tt0325710,111000000,2,1,4,2,3
The Last Station,Drama,2009,R,2/26/2010,112,76,7,17516,tt0824758,6500000,0,1,2,0,0
The Last of the Mohicans,War,1992,R,9/25/1992,112,76,7.7,144556,tt0104691,,0,0,2,0,0
The Life of David Gale,Thriller,2003,R,2/21/2003,130,31,7.6,106438,tt0289992,19593740,0,0,6,32,12
The Limey,Crime,1999,R,8/4/1999,89,73,7,29323,tt0165854,,6,1,0,33,12
The Lincoln Lawyer,Thriller,2011,R,3/18/2011,118,63,7.3,207931,tt1189340,57900000,4,6,2,13,23
The Little Mermaid,Musical,1989,G,11/17/1989,83,88,7.6,229325,tt0097757,,0,0,0,0,0
The Long Kiss Goodnight,Thriller,1996,R,10/11/1996,121,44,6.8,70875,tt0116908,,16,13,13,97,20
The Losers,Mystery,2010,PG-13,4/23/2010,97,44,6.3,88865,tt0480255,23400000,5,0,7,4,27
The Man Who Knew Too Much,Adventure,1956,PG,6/1/1956,120,78,7.5,56056,tt0049470,,0,0,1,0,0
The Man Who Wasn't There,Crime,2001,R,11/16/2001,116,73,7.5,101405,tt0243133,7408031,2,6,26,0,0
The Manchurian Candidate,Mystery,2004,R,7/30/2004,129,76,6.6,100778,tt0368008,65700000,5,0,3,8,14
The Martian,Sci-Fi,2015,PG-13,10/2/2015,144,80,8,734744,tt3659388,202313768,3,0,6,3,10
The Mask,Romance,1994,PG-13,7/29/1994,101,56,6.9,335452,tt0110475,,3,5,2,1,5
The Master,Drama,2012,R,9/21/2012,138,86,7.2,147827,tt1560747,15800000,3,0,1,5,4
The Matrix,Sci-Fi,1999,R,3/31/1999,136,73,8.7,1616945,tt0133093,,2,0,9,12,22
The Matrix Reloaded,Sci-Fi,2003,R,5/15/2003,138,62,7.2,502814,tt0234215,281500000,9,0,2,30,21
The Mechanic,Crime,2011,R,1/28/2011,93,49,6.6,147755,tt0472399,29113588,3,5,6,10,7
The Men Who Stare at Goats,War,2009,R,11/6/2009,94,54,6.2,125151,tt1234548,32400000,1,0,4,20,13
The Miracle Worker,Drama,1962,Not Rated,7/28/1962,106,83,8.1,15493,tt0056241,,0,0,0,0,0
The Mummy,Horror,1999,PG-13,5/7/1999,124,48,7,381578,tt0120616,,17,1,7,0,7
The Neverending Story,Family,1984,PG,7/20/1984,102,46,7.4,127724,tt0088323,,0,0,0,0,0
The Next Three Days,Romance,2010,PG-13,11/19/2010,133,52,7.4,177578,tt1458175,21100000,2,1,0,0,2
The Nightmare Before Christmas,Musical,1993,PG,10/29/1993,76,82,8,283423,tt0107688,8616662,0,0,0,0,0
The Nines,Mystery,2007,R,11/30/2007,100,52,6.3,32264,tt0810988,,7,0,1,12,12
The Ninth Gate,Mystery,1999,R,3/10/2000,133,44,6.7,162053,tt0142688,,0,0,0,0,0
The Other Boleyn Girl,Romance,2008,PG-13,2/29/2008,115,50,6.7,101287,tt0467200,26800000,0,0,1,0,0
The Pacifier,Family,2005,PG,3/4/2005,95,30,5.6,85615,tt0395699,113006880,5,0,0,0,0
The Passion of Joan of Arc,Drama,1928,Passed,10/25/2028,114,,8.1,45031,tt0019254,,0,0,1,0,0
The Patriot,War,2000,R,6/28/2000,165,63,7.2,249110,tt0187393,2317507,1,0,13,0,0
The Perks of Being a Wallflower,Romance,2012,PG-13,10/12/2012,103,67,8,447512,tt1659337,14900000,6,3,3,1,11
The Pianist,War,2002,R,3/28/2003,150,85,8.5,701983,tt0253474,32519322,0,1,2,5,3
The Piano,Romance,1993,R,2/11/1994,121,89,7.6,76014,tt0107822,,1,0,4,0,3
The Planet of the Apes,Sci-Fi,2011,PG-13,8/5/2011,105,68,7.6,488681,tt1318514,175300000,0,0,3,0,0
The Postman,Sci-Fi,1997,R,12/25/1997,177,29,6.1,67203,tt0119925,,6,1,19,2,7
The Power of One,Drama,1992,PG-13,3/27/1992,127,,7.2,8925,tt0105159,,3,0,8,4,2
The Prestige,Mystery,2006,PG-13,10/20/2006,130,66,8.5,1140365,tt0482571,53100000,0,0,2,0,1
The Princess Bride,Romance,1987,PG,10/9/1987,98,77,8.1,382292,tt0093779,,0,0,0,0,0
The Private Life of Sherlock Holmes,Mystery,1970,PG-13,10/29/1970,125,,7.1,10243,tt0066249,,0,0,3,0,0
The Program,Drama,2015,R,3/18/2016,99,53,6.5,15757,tt3083008,,18,2,16,31,40
The Prophecy,Mystery,1995,R,9/1/1995,98,44,6.5,28343,tt0114194,,2,8,11,13,9
The Proposal,Romance,2009,PG-13,6/19/2009,108,48,6.7,287428,tt1041829,163900057,12,3,7,3,13
The Queen,Drama,2006,PG-13,11/17/2006,103,91,7.3,101961,tt0436697,56222759,0,0,0,0,0
The Reader,Romance,2008,R,1/30/2009,124,58,7.6,226279,tt0976051,34111418,0,0,0,0,0
The Relic,Horror,1997,R,1/10/1997,110,55,5.8,23934,tt0120004,,3,1,10,0,12
The Replacements,Comedy,2000,PG-13,8/11/2000,118,30,6.6,56881,tt0191397,44004460,17,3,14,15,24
The Rescuers Down Under,Animation,1990,G,11/16/1990,77,70,6.9,36891,tt0100477,,0,0,0,0,0
The Revenant,Adventure,2015,R,1/8/2016,156,76,8,678615,tt1663202,,4,3,6,1,9
The Road,Adventure,2009,R,11/25/2009,111,64,7.2,218164,tt0898367,8025059,5,1,4,3,1
The Rock,Action,1996,R,6/7/1996,136,58,7.4,304994,tt0117500,,1,2,12,40,19
The Rocky Horror Picture Show,Musical,1975,R,8/31/1975,100,58,7.4,127790,tt0073629,,0,0,0,1,0
The Roommate,Horror,2011,PG-13,2/4/2011,91,23,4.8,35693,tt1265990,37300107,3,3,4,0,8
The Ruins,Horror,2008,R,4/4/2008,90,44,5.8,68559,tt0963794,17402425,0,1,0,24,5
The Saint,Romance,1997,PG-13,4/4/1997,116,50,6.2,61012,tt0120053,,0,0,0,0,0
The Salton Sea,Crime,2002,R,6/21/2002,103,41,7.1,29211,tt0235737,626750,17,4,5,40,19
The Searchers,Western,1956,Passed,5/26/1956,119,94,7.9,77779,tt0049730,,0,0,0,0,0
The Secret Life of Walter Mitty,Adventure,2013,PG,12/25/2013,114,54,7.3,286548,tt0359950,33223430,2,0,2,18,8
The Sessions,Romance,2012,R,11/16/2012,95,79,7.2,40658,tt1866249,5997134,2,1,2,3,5
The Seventh Seal,Fantasy,1957,Not Rated,10/13/1958,96,,8.2,157335,tt0050976,,0,1,7,0,0
The Shawshank Redemption,Drama,1994,R,10/14/1994,142,80,9.3,2251007,tt0111161,,31,4,33,39,55
The Shining,Horror,1980,R,6/13/1980,146,66,8.4,859906,tt0081505,,1,3,3,10,0
The Shipping News,Romance,2001,R,1/18/2002,111,47,6.7,31386,tt0120824,11405825,3,3,2,4,4
The Siege,Thriller,1998,R,11/6/1998,116,53,6.4,67030,tt0133952,,7,2,4,20,10
The Sixth Sense,Mystery,1999,PG-13,8/6/1999,107,64,8.1,888202,tt0167404,,0,0,0,0,0
The Social Network,Drama,2010,PG-13,10/1/2010,120,95,7.7,603038,tt1285016,96400000,8,5,2,17,17
The Sting,Crime,1973,PG,12/25/1973,129,83,8.3,234228,tt0070735,,2,1,10,3,2
The Stuntman,Romance,1994,N/A,N/A,,,3.9,7,tt1933544,,25,15,40,24,15
The Surfer King,Comedy,2006,PG-13,N/A,95,,3.9,334,tt0418206,,0,0,0,0,0
The Sweet Hereafter,Drama,1997,R,11/21/1997,112,91,7.5,31347,tt0120255,,0,1,3,5,1
The Taking of Pelham One Two Three,Crime,1974,R,11/14/1974,104,68,7.7,25392,tt0072251,,8,8,4,19,19
The Talented Mr. Ripley,Mystery,1999,R,12/25/1999,139,76,7.4,175612,tt0134119,,2,0,1,4,1
The Theory of Everything,Romance,2014,PG-13,11/26/2014,123,72,7.7,386687,tt2980516,35887263,0,0,1,0,0
The Thing,Horror,1982,R,6/25/1982,109,57,8.1,356329,tt0084787,,8,2,28,9,18
The Things My Father Never Taught Me,Short,2012,N/A,4/20/2012,7,,7.9,248,tt2234521,,0,1,1,0,0
The Three Musketeers,Romance,2011,PG-13,10/21/2011,110,35,5.7,101336,tt1509767,20356913,0,0,3,0,0
The Time Machine,Sci-Fi,2002,PG-13,3/8/2002,96,42,6,116770,tt0268695,56684819,0,0,1,0,0
The Tourist,Thriller,2010,PG-13,12/10/2010,103,37,6,218305,tt1243957,67631157,0,0,2,1,3
The Truman Show,Sci-Fi,1998,PG,6/5/1998,103,90,8.1,898405,tt0120382,,0,1,5,10,3
The Ugly Truth,Romance,2009,R,7/24/2009,96,28,6.4,199299,tt1142988,88915214,7,3,1,13,9
The Usual Suspects,Mystery,1995,R,8/16/1995,106,77,8.5,961807,tt0114814,,11,3,4,36,22
The Verdict,Drama,1982,R,12/17/1982,129,77,7.7,34575,tt0084855,,3,0,8,10,3
The Village,Mystery,2004,PG-13,7/30/2004,108,44,6.5,237350,tt0368447,114170863,0,0,0,0,0
The Visitor,Romance,2007,PG-13,5/23/2008,104,79,7.6,40939,tt0857191,9234510,0,0,1,1,2
The Way Back,Adventure,2010,PG-13,1/21/2011,133,66,7.3,107126,tt1023114,2500000,0,0,5,2,3
The Whistleblower,Thriller,2010,R,10/27/2011,112,59,7.1,31005,tt0896872,900000,2,1,1,20,7
The White Ribbon,Mystery,2009,R,3/5/2010,144,82,7.8,66785,tt1149362,2077054,0,0,2,0,0
The Wild Bunch,Western,1969,R,6/19/1969,135,97,7.9,75648,tt0065214,,4,4,27,0,0
The Wizard of Oz,Musical,1939,PG,8/25/1939,102,100,8,365052,tt0032138,3840702,0,0,0,0,0
The Wolf of Wall Street,Crime,2013,R,12/25/2013,180,75,8.2,1124599,tt0993846,91330760,13,5,5,180,36
The Woodsman,Drama,2004,R,1/21/2005,87,72,7.2,31478,tt0361127,1456291,7,1,5,26,15
The World is not Enough,Adventure,1999,PG-13,11/19/1999,128,57,6.4,184018,tt0143145,,1,0,1,0,0
The Wrestler,Drama,2008,R,1/30/2009,109,80,7.9,285278,tt1125849,26136413,19,2,4,41,23
