Film,Genre,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,A,B,D,F,S
Rocky,Romance,1976,PG,12/3/1976,120,70,8.1,502081,tt0075148,,2,0,8,2,0
Romeo & Juliet,Romance,1978,TV-14,12/3/1978,168,,6.8,340,tt0078176,,0,0,0,0,0
Ronin,Crime,1998,R,9/25/1998,122,67,7.3,168282,tt0122690,,7,6,13,35,12
Room,Drama,2015,R,1/22/2016,118,86,8.1,351480,tt3170832,14677654,1,0,1,2,3
Runaway Bride,Romance,1999,PG,7/30/1999,116,39,5.5,90635,tt0163187,,3,0,1,0,0
Rush,Drama,2013,R,9/27/2013,123,74,8.1,419377,tt1979320,22442876,13,0,0,8,6
Rush Hour,Crime,1998,PG-13,9/18/1998,98,60,7,232877,tt0120812,,17,3,23,40,28
Rush Hour 2,Crime,2001,PG-13,8/3/2001,90,48,6.6,194706,tt0266915,,16,1,7,0,24
Rushmore,Romance,1998,R,2/19/1999,93,86,7.7,164730,tt0128445,,0,0,0,0,0
Rust and Bone,Romance,2012,R,5/17/2012,120,73,7.5,62034,tt2053425,1900000,4,3,1,20,13
S. Darko,Mystery,2009,R,8/21/2009,103,,3.6,13023,tt1231277,,7,3,3,37,17
Save the Last Dance,Romance,2001,PG-13,1/12/2001,112,53,6.2,55963,tt0206275,,26,12,9,32,56
Saving Mr. Banks,Comedy,2013,PG-13,12/20/2013,125,65,7.5,147963,tt2140373,53260198,0,0,1,0,0
Saving Private Ryan,War,1998,R,7/24/1998,169,91,8.6,1193695,tt0120815,,6,5,37,20,10
Saw,Mystery,2004,R,10/29/2004,103,46,7.6,369218,tt0387564,55100000,2,2,2,32,16
Scarface,Crime,1983,R,12/9/1983,170,65,8.3,711819,tt0086250,656161,6,1,3,42,14
Scary Movie 2,Horror,2001,R,7/4/2001,83,29,5.3,146030,tt0257106,,0,0,0,0,0
Schindler's List,War,1993,R,2/4/1994,195,94,8.9,1171229,tt0108052,,0,0,2,5,0
Scott Pilgrim vs. the World,Fantasy,2010,PG-13,8/13/2010,112,69,7.5,364263,tt0446029,31494270,21,8,1,12,3
Scream,Mystery,1996,R,12/20/1996,111,65,7.2,276236,tt0117571,,6,4,5,23,23
Scream 2,Mystery,1997,R,12/12/1997,120,63,6.2,152234,tt0120082,,6,5,1,7,23
Scream 3,Mystery,2000,R,2/4/2000,116,56,5.6,120066,tt0134084,,6,2,10,34,29
Se7en,Mystery,1995,R,9/22/1995,127,65,8.6,1386280,tt0114369,,1,3,6,49,7
Semi-Pro,Comedy,2008,R,2/29/2008,91,47,5.8,77000,tt0839980,33370443,17,3,8,24,28
Sense and Sensibility,Romance,1995,PG,1/26/1996,136,84,7.6,98350,tt0114388,,0,1,0,0,0
Serenity,Sci-Fi,2005,PG-13,9/30/2005,119,74,7.8,278632,tt0379786,25335935,4,0,3,1,2
Serial Mom,Horror,1994,R,4/13/1994,95,64,6.8,26154,tt0111127,,2,3,8,9,4
Sex and the City,Romance,2008,R,5/30/2008,145,53,5.6,113892,tt1000774,152595674,4,1,1,7,6
Sexual Life,Comedy,2004,R,6/19/2004,96,,5,900,tt0376874,,5,1,2,10,7
Shakespeare in Love,Romance,1998,R,1/8/1999,123,87,7.1,209610,tt0138097,,0,0,2,0,1
Shallow Grave,Crime,1994,R,2/10/1995,89,67,7.3,55486,tt0111149,,0,0,0,5,1
Shame,Drama,2011,NC-17,1/13/2012,101,72,7.2,178488,tt1723811,2971782,10,1,0,68,6
Shampoo,Drama,1975,R,3/13/1975,109,65,6.3,10200,tt0073692,,6,5,5,32,17
Sherlock Holmes,Mystery,2009,PG-13,12/25/2009,128,57,7.6,570347,tt0988045,208711166,0,0,0,1,2
She's Out of My League,Romance,2010,R,3/12/2010,104,46,6.4,123849,tt0815236,28712974,12,7,7,45,39
Shifty,Thriller,2008,Unrated,4/24/2009,85,,6.5,2826,tt1104126,,0,0,0,176,14
Shivers,Horror,1975,R,7/6/1976,87,58,6.5,17029,tt0073705,,0,0,1,0,0
Shrek,Animation,2001,PG,5/18/2001,90,84,7.8,596311,tt0126029,266982666,2,0,2,0,0
